nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-31-147,1697529451,1697529458,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,2,0.064,NA,TRUE,29998789,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529458,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,0.086,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1697529451,1697529458,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,2,0.098,NA,TRUE,29998789,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529458,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,0.076,NA,TRUE,29998789;4999720,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529458,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,2,0.067,NA,TRUE,29998789;4999720,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529458,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,0.195,NA,TRUE,299.988;799.8942;4999.767,0,NA,FALSE
ip-172-31-31-147,1697529451,1697529459,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,2,0.148,NA,TRUE,299.988;799.8942;4999.767,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529459,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,0.081,NA,TRUE,29998789;79989360;499976651,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529459,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,2,0.071,NA,TRUE,29998789;79989360;499976651,0.001,NA,FALSE
ip-172-31-31-147,1697529451,1697529460,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,data.table,1.14.9,88039186915028ab3c93ccfd8e22c0d1c3534b1a,[.data.table,1,0.43,NA,TRUE,499920.1;288648.1,0.001,NA,FALSE
